Grid,SMAPE,MAE
13,7.78596389863353,118.26222155200144
21,8.943982759048373,138.56140012888704
158,36.71853784239535,156.80926784734518
189,27.80699908224027,93.85801812091424
191,40.176694800772935,236.35589989447257
207,53.1148065248401,433.5590724591403
209,17.88249591697733,56.365766355326066
226,14.22467773611194,158.87919488284444
227,22.940862848867464,175.1477466616111
229,22.44061626231903,119.59573618127264
249,15.527252979260128,210.41372880286272
267,10.381208817059168,71.18533337666304
274,15.857356073752959,231.41479011021136
291,11.320266637097507,48.407216757628596
294,26.302070736008496,620.2602764867851
306,20.35660967391236,467.88902701943607
307,15.195204289108593,51.146193746131274
314,39.22355786803696,447.333701664561
334,16.625298830560077,63.45703559054059
336,19.378388976509736,241.26914742286993
343,11.159484167009698,193.3510823802804
345,21.23781180539917,468.5691983897856
349,14.596334445289594,342.3575640245938
362,24.26547697101218,522.5950685231679
371,14.063259887044552,148.02513609868635
383,12.784710323519471,188.41105727696296
397,14.161435217928181,151.7156183901594
403,23.97392706148458,233.0489420306722
